
1.20	0.056	-0.181	0.369	62	0.268	0.053	0.500	67	0.032	-0.107	0.165	67	-0.070	-0.242	0.141	62
1.25	0.063	-0.178	0.309	64	0.253	0.039	0.473	70	0.004	-0.173	0.169	70	-0.076	-0.194	0.056	65
1.30	0.065	-0.186	0.410	56	0.259	0.035	0.582	60	0.025	-0.159	0.309	61	-0.059	-0.246	0.185	58
1.35	0.046	-0.297	0.396	53	0.252	0.036	0.456	58	0.036	-0.100	0.164	58	-0.042	-0.170	0.080	50
1.40	0.069	-0.114	0.328	48	0.247	0.042	0.437	56	0.086	-0.031	0.232	56	-0.032	-0.167	0.137	50
1.45	0.172	-0.036	0.368	50	0.148	-0.004	0.326	55	0.123	-0.026	0.269	54	-0.022	-0.173	0.130	51
1.50	0.169	-0.056	0.744	68	0.150	-0.003	0.578	73	0.182	0.071	0.365	72	-0.028	-0.223	0.198	66
1.55	0.203	0.036	0.437	70	0.092	-0.101	0.370	75	0.206	0.016	0.382	75	-0.022	-0.170	0.163	68
1.60	0.210	0.037	0.419	73	0.070	-0.092	0.240	81	0.217	0.102	0.341	81	-0.002	-0.163	0.182	75
1.65	0.162	-0.001	0.483	52	0.074	-0.124	0.455	58	0.213	0.059	0.370	57	0.012	-0.155	0.175	57
1.70	0.106	-0.071	0.319	51	0.035	-0.101	0.484	59	0.251	0.033	0.504	59	0.024	-0.132	0.183	54
1.75	0.077	-0.113	0.278	63	0.023	-0.192	0.247	67	0.259	0.100	0.447	67	0.014	-0.163	0.179	63
1.80	0.079	-0.252	0.474	59	0.044	-0.198	0.344	67	0.270	0.133	0.492	67	0.030	-0.138	0.214	63
1.85	0.048	-0.174	0.373	48	0.015	-0.173	0.214	51	0.262	0.128	0.472	51	0.049	-0.131	0.157	45
1.90	-0.009	-0.416	0.300	51	0.046	-0.171	0.305	58	0.251	0.108	0.423	58	0.057	-0.071	0.243	53
1.95	0.039	-0.162	0.232	50	0.032	-0.174	0.221	50	0.209	0.044	0.380	50	0.134	0.021	0.261	47
2.00	0.036	-0.299	0.366	44	0.064	-0.073	0.276	50	0.174	0.031	0.365	49	0.177	0.017	0.381	45
2.05	0.133	-0.109	0.457	43	0.121	-0.212	0.459	49	0.148	-0.043	0.389	48	0.205	0.063	0.352	43
2.10	0.184	-0.076	0.422	42	0.100	-0.351	0.345	48	0.112	-0.065	0.321	48	0.217	0.061	0.409	41
2.20	0.289	-0.048	0.647	117	0.072	-0.228	0.421	135	0.119	-0.085	0.355	135	0.224	0.067	0.396	124
2.40	0.570	0.148	1.082	42	0.062	-0.218	0.568	55	0.077	-0.085	0.354	54	0.250	0.061	0.570	50
2.60	0.795	0.419	1.343	29	0.172	-0.084	0.649	39	0.083	-0.072	0.406	38	0.252	0.038	0.517	35
2.80	1.046	0.185	1.648	18	0.145	-0.050	0.545	32	0.107	-0.114	0.437	32	0.174	-0.027	0.502	29
3.00	1.475	0.905	2.049	8	0.245	0.004	0.804	20	0.088	-0.126	0.486	20	0.112	-0.136	0.280	19
3.20	\ldots	\ldots	\ldots	0	0.217	0.123	0.496	13	0.104	-0.050	0.337	13	0.051	-0.040	0.171	11
3.40	\ldots	\ldots	\ldots	0	0.414	0.276	0.829	7	0.115	0.004	0.145	7	0.087	-0.029	0.098	7
3.60	\ldots	\ldots	\ldots	0	1.084	0.570	1.544	24	0.093	-0.017	0.252	25	0.094	-0.106	0.318	15
3.80	\ldots	\ldots	\ldots	0	1.257	1.021	1.815	29	0.076	-0.043	0.203	31	0.180	-0.103	0.258	19
4.00	\ldots	\ldots	\ldots	0	1.406	1.069	1.638	17	0.145	-0.013	0.270	19	0.121	0.029	0.168	7
4.20	\ldots	\ldots	\ldots	0	1.813	1.492	2.183	7	0.295	0.018	0.443	10	0.096	0.003	0.140	8
4.40	\ldots	\ldots	\ldots	0	\ldots	\ldots	\ldots	0	0.334	0.213	0.428	6	0.239	0.235	0.286	4
4.60	\ldots	\ldots	\ldots	0	\ldots	\ldots	\ldots	0	1.074	0.887	1.452	8	0.084	-0.047	0.127	4
4.80	\ldots	\ldots	\ldots	0	\ldots	\ldots	\ldots	0	\ldots	\ldots	\ldots	0	\ldots	\ldots	\ldots	0
